,title,link
261,Residual sum of squares,https://en.wikipedia.org/wiki/Residual_sum_of_squares
262,Least squares,https://en.wikipedia.org/wiki/Least_squares
263,Least absolute deviations,https://en.wikipedia.org/wiki/Least_absolute_deviations
264,Differentiable function,https://en.wikipedia.org/wiki/Differentiable_function
265,Regression analysis,https://en.wikipedia.org/wiki/Regression_analysis
266,Linear regression,https://en.wikipedia.org/wiki/Linear_regression
267,Ordinary least squares,https://en.wikipedia.org/wiki/Ordinary_least_squares
268,Nonlinear regression,https://en.wikipedia.org/wiki/Nonlinear_regression
269,Non-linear least squares,https://en.wikipedia.org/wiki/Non-linear_least_squares
270,Polynomial least squares,https://en.wikipedia.org/wiki/Polynomial_least_squares
271,Random error,https://en.wikipedia.org/wiki/Random_error
272,Systematic error,https://en.wikipedia.org/wiki/Systematic_error
273,Bias,https://en.wikipedia.org/wiki/Bias
274,Missing data,https://en.wikipedia.org/wiki/Missing_data
275,Censoring (statistics),https://en.wikipedia.org/wiki/Censoring_(statistics)
276,Bias (statistics),https://en.wikipedia.org/wiki/Bias_(statistics)
277,Interval estimation,https://en.wikipedia.org/wiki/Interval_estimation
278,Confidence intervals,https://en.wikipedia.org/wiki/Confidence_intervals
279,Confidence intervals,https://en.wikipedia.org/wiki/Confidence_intervals
280,Frequentist inference,https://en.wikipedia.org/wiki/Frequentist_inference
281,Random variable,https://en.wikipedia.org/wiki/Random_variable
282,Random variable,https://en.wikipedia.org/wiki/Random_variable
283,Credible interval,https://en.wikipedia.org/wiki/Credible_interval
284,Bayesian statistics,https://en.wikipedia.org/wiki/Bayesian_statistics
285,Probability interpretations,https://en.wikipedia.org/wiki/Probability_interpretations
286,Bayesian probability,https://en.wikipedia.org/wiki/Bayesian_probability
287,Statistical significance,https://en.wikipedia.org/wiki/Statistical_significance
288,P-value,https://en.wikipedia.org/wiki/P-value
289,Test statistic,https://en.wikipedia.org/wiki/Test_statistic
290,Critical region,https://en.wikipedia.org/wiki/Critical_region#Definition_of_terms
291,P-value,https://en.wikipedia.org/wiki/P-value
292,Critical region,https://en.wikipedia.org/wiki/Critical_region#Definition_of_terms
293,Statistical significance,https://en.wikipedia.org/wiki/Statistical_significance
294,Statistical power,https://en.wikipedia.org/wiki/Statistical_power
295,Statistical significance,https://en.wikipedia.org/wiki/Statistical_significance
296,Significance level,https://en.wikipedia.org/wiki/Significance_level
297,Test statistic,https://en.wikipedia.org/wiki/Test_statistic
298,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing#Criticism
299,Significance level,https://en.wikipedia.org/wiki/Significance_level
300,P-value,https://en.wikipedia.org/wiki/P-value
301,Effect size,https://en.wikipedia.org/wiki/Effect_size
302,Confidence interval,https://en.wikipedia.org/wiki/Confidence_interval
303,Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis
304,Bayesian inference,https://en.wikipedia.org/wiki/Bayesian_inference
305,Prior probability,https://en.wikipedia.org/wiki/Prior_probability
306,Inferential statistics,https://en.wikipedia.org/wiki/Inferential_statistics
307,Fat tails,https://en.wikipedia.org/wiki/Fat_tails
308,Wikipedia:Please clarify,https://en.wikipedia.org/wiki/Wikipedia:Please_clarify
309,Statistical hypothesis testing,https://en.wikipedia.org/wiki/Statistical_hypothesis_testing
310,Analysis of variance,https://en.wikipedia.org/wiki/Analysis_of_variance
311,Chi-squared test,https://en.wikipedia.org/wiki/Chi-squared_test
312,Correlation,https://en.wikipedia.org/wiki/Correlation
313,Factor analysis,https://en.wikipedia.org/wiki/Factor_analysis
314,Mean square weighted deviation,https://en.wikipedia.org/wiki/Mean_square_weighted_deviation
315,Pearson product-moment correlation coefficient,https://en.wikipedia.org/wiki/Pearson_product-moment_correlation_coefficient
316,Regression analysis,https://en.wikipedia.org/wiki/Regression_analysis
317,Time series analysis,https://en.wikipedia.org/wiki/Time_series_analysis
318,Conjoint Analysis,https://en.wikipedia.org/wiki/Conjoint_Analysis
319,Exploratory data analysis,https://en.wikipedia.org/wiki/Exploratory_data_analysis
320,Data analysis,https://en.wikipedia.org/wiki/Data_analysis
321,Data set,https://en.wikipedia.org/wiki/Data_set
322,Statistical model,https://en.wikipedia.org/wiki/Statistical_model
